"Category","Electric","Internet","Natural Gas","Water","Water and Sewer"
"Mar 2024",3673204.72,,436944.33,4187.98,135313.55
"Apr 2024",3609177.09,,319394.98,4495.21,77784.94
"May 2024",3502843.2,,159583.72,2055.76,170313.2
"Jun 2024",3852501.66,,89832.56,105.74,36179.57
"Jul 2024",3799500.94,,99084.22,38.92,154865.95
"Aug 2024",3870630.39,,96266.76,228.42,53892.18
"Sep 2024",4003065.68,,99483.52,35.68,105138.6
"Oct 2024",3434637.21,,182819.68,349.14,94716.44
"Nov 2024",3944738.01,102480.68,392071.99,1572.4,97328.89
"Dec 2024",833524.54,,606997,1067.64,67387.91
"Jan 2025",1185212.53,,691617.97,1679.5,136965.43
"Feb 2025",348.36,,176707.7,142.72,24877.6
